antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Congestion=High, Weather=Normal",Time=Afternoon,0.18186075169439309,0.24882316697473814,0.0739864448552064,0.4068301937931969,1.6350173448057612,1.0,0.028735276670201045,1.2663773933957978,0.4747183245069621,0.20742071443377322,0.21034597963053134,0.35208783857647163
Time=Afternoon,"Congestion=High, Weather=Normal",0.24882316697473814,0.18186075169439309,0.0739864448552064,0.2973454833597464,1.6350173448057612,1.0,0.028735276670201045,1.164354926824557,0.5170363036954334,0.20742071443377322,0.1411553496602516,0.35208783857647163
Time=Afternoon,Congestion=High,0.24882316697473814,0.25003080714725817,0.10094886013555145,0.40570522979397783,1.6226209658837507,1.0,0.03873540285992068,1.2619481618402137,0.5108159767790938,0.2537008361721895,0.2075744232300575,0.40472545866239057
Congestion=High,Time=Afternoon,0.25003080714725817,0.24882316697473814,0.10094886013555145,0.4037456875308033,1.6226209658837505,1.0,0.03873540285992068,1.2598262474857465,0.511638519758462,0.2537008361721895,0.20623974774639406,0.40472545866239057
"Time=Afternoon, Weather=Normal",Congestion=High,0.18725816389402342,0.25003080714725817,0.0739864448552064,0.39510397473019215,1.5802211704955689,1.0,0.02716613499187017,1.2398315768701331,0.45177592029750724,0.20364968455328672,0.19343883584218027,0.34550664483182847
Congestion=High,"Time=Afternoon, Weather=Normal",0.25003080714725817,0.18725816389402342,0.0739864448552064,0.29590931493346473,1.5802211704955686,1.0,0.02716613499187017,1.1543141435384479,0.4895896984439992,0.20364968455328672,0.13368470307867092,0.34550664483182847
"Congestion=Severe, DayType=Weekday, Weather=Normal",Time=Morning,0.17308687615526802,0.24781269254467037,0.06743068391866913,0.3895771038017941,1.5720627535313572,1.0,0.02453755909448626,1.2322396688264006,0.44006204169071933,0.19076837261190907,0.1884695605097574,0.3308402674652929
Time=Morning,"Congestion=Severe, DayType=Weekday, Weather=Normal",0.24781269254467037,0.17308687615526802,0.06743068391866913,0.27210343112879165,1.5720627535313572,1.0,0.02453755909448626,1.1360310780514797,0.4837798696856821,0.19076837261190907,0.1197423914535861,0.3308402674652929
"Congestion=Severe, Weather=Normal",Time=Morning,0.17998767714109673,0.24781269254467037,0.06802218114602587,0.37792687936464464,1.5250505350791106,1.0,0.023418950248829874,1.2091622069879533,0.4198522564126688,0.1890669954788327,0.17298109863107655,0.32620859134816016
Time=Morning,"Congestion=Severe, Weather=Normal",0.24781269254467037,0.17998767714109673,0.06802218114602587,0.27449030333167573,1.5250505350791104,1.0,0.023418950248829874,1.1302568754415725,0.4577104939502726,0.1890669954788327,0.11524537321720195,0.32620859134816016
"DayType=Weekend, Weather=Normal",Congestion=High,0.20692544670363525,0.25003080714725817,0.07797905113986445,0.376846117198666,1.5071987388206873,1.0,0.026241314681247574,1.2035056084081843,0.4243201224000277,0.20576185211679782,0.1690940258079485,0.3443619447501462
Congestion=High,"DayType=Weekend, Weather=Normal",0.25003080714725817,0.20692544670363525,0.07797905113986445,0.3118777723016264,1.5071987388206873,1.0,0.026241314681247574,1.1525198887253432,0.4487084199379064,0.20576185211679782,0.13233601451687407,0.3443619447501462
DayType=Weekend,"Congestion=High, Weather=Normal",0.2857917436845348,0.18186075169439309,0.07797905113986445,0.2728527078302863,1.5003386123070699,1.0,0.026004749805343633,1.1251355222191435,0.46692794542488575,0.20011384479160077,0.11121817749770657,0.3508185479793795
"Congestion=High, Weather=Normal",DayType=Weekend,0.18186075169439309,0.2857917436845348,0.07797905113986445,0.4287843881284727,1.5003386123070697,1.0,0.026004749805343633,1.2503304207240376,0.4076125114612533,0.20011384479160077,0.20021141337909448,0.3508185479793795
Congestion=High,"DayType=Weekday, Time=Morning",0.25003080714725817,0.1768576709796673,0.06523721503388787,0.2609167077378019,1.475292003408767,1.0,0.021017348808657438,1.113734186171149,0.4295750954614634,0.1803870791876789,0.10211968671101866,0.3148925790639957
"DayType=Weekday, Time=Morning",Congestion=High,0.1768576709796673,0.25003080714725817,0.06523721503388787,0.36886845039018956,1.4752920034087669,1.0,0.021017348808657438,1.1882929847452586,0.3913880701485773,0.1803870791876789,0.15845669978908777,0.3148925790639957
Congestion=High,"Time=Morning, Weather=Normal",0.25003080714725817,0.16426370918052988,0.060406654343807764,0.24159684573681617,1.4707864989904451,1.0,0.0193356665523974,1.101968374104955,0.42680641795089114,0.17069433804582493,0.09253294060074657,0.3046693906103436
"Time=Morning, Weather=Normal",Congestion=High,0.16426370918052988,0.25003080714725817,0.060406654343807764,0.36774193548387096,1.470786498990445,1.0,0.0193356665523974,1.1861757642058672,0.38300558237232724,0.17069433804582493,0.15695461821419862,0.3046693906103436
"Congestion=Severe, Time=Afternoon","DayType=Weekday, Weather=Normal",0.14060382008626002,0.4995686999383857,0.10264941466420209,0.7300613496932514,1.4613832887914986,1.0,0.03240814705733849,1.853870497955525,0.367370521480746,0.1909674461256304,0.4605879962474108,0.4677687113537791
"DayType=Weekday, Weather=Normal","Congestion=Severe, Time=Afternoon",0.4995686999383857,0.14060382008626002,0.10264941466420209,0.20547607301430684,1.4613832887914986,1.0,0.03240814705733849,1.081649212471376,0.6308894402380504,0.1909674461256304,0.07548585209508173,0.4677687113537791
Congestion=High,Time=Morning,0.25003080714725817,0.24781269254467037,0.08833025261860751,0.3532774765894529,1.4255826566501295,1.0,0.02636944508032825,1.1630757863335341,0.3980595926394299,0.21569571497351947,0.14021079988915636,0.3548585294434087
Time=Morning,Congestion=High,0.24781269254467037,0.25003080714725817,0.08833025261860751,0.35643958229736444,1.4255826566501293,1.0,0.02636944508032825,1.165343877937617,0.39688576028892053,0.21569571497351947,0.14188419492985743,0.3548585294434087
Congestion=High,DayType=Weekend,0.25003080714725817,0.2857917436845348,0.10077634011090573,0.4030556924593396,1.4103125837821409,1.0,0.029319599761439177,1.1964403501189556,0.3879323806398659,0.23164513936097894,0.16418733294929788,0.37783864305616166
DayType=Weekend,Congestion=High,0.2857917436845348,0.25003080714725817,0.10077634011090573,0.3526215936529838,1.4103125837821406,1.0,0.029319599761439177,1.1584711283229512,0.4073564423503613,0.23164513936097894,0.13679333429082538,0.37783864305616166
"Congestion=Severe, Time=Morning",DayType=Weekday,0.10563154651879236,0.7142082563154651,0.10481823783117683,0.9923005132991133,1.3893713836609796,1.0,0.029375315180084197,37.1182852555121,0.3133496461515476,0.14659451261546946,0.9730591003028218,0.5695309806220885
DayType=Weekday,"Congestion=Severe, Time=Morning",0.7142082563154651,0.10563154651879236,0.10481823783117683,0.14676144794506368,1.3893713836609796,1.0,0.029375315180084197,1.048204457390274,0.980609288478226,0.14659451261546946,0.04598764778227449,0.5695309806220885
"Congestion=Severe, Time=Morning, Weather=Normal",DayType=Weekday,0.06802218114602587,0.7142082563154651,0.06743068391866913,0.991304347826087,1.387976600746868,1.0,0.018848680531591284,32.8660505237217,0.2999285533680825,0.09433506878598766,0.9695734661127527,0.5428587717942679
DayType=Weekday,"Congestion=Severe, Time=Morning, Weather=Normal",0.7142082563154651,0.06802218114602587,0.06743068391866913,0.09441319576244868,1.387976600746868,1.0,0.018848680531591284,1.029142446083501,0.9780784965172505,0.09433506878598766,0.02831721322388881,0.5428587717942679
"DayType=Weekday, Weather=Normal",Congestion=Severe,0.4995686999383857,0.24995686999383857,0.17308687615526802,0.3464726196349285,1.3861296136548238,1.0,0.048216247571778004,1.1476843243923072,0.5566533193798139,0.30026935739022614,0.128680266213887,0.5194697943372828
Congestion=Severe,"DayType=Weekday, Weather=Normal",0.24995686999383857,0.4995686999383857,0.17308687615526802,0.6924669690396371,1.3861296136548236,1.0,0.048216247571778004,1.6272440670807604,0.3714009676997707,0.30026935739022614,0.3854640368767927,0.5194697943372828
